Species,Genome size (bases),Mean mutation rate (SBS/genome/year),Lifespan (years)
Cat,2564266719,287.3452783,30
Black-and-white colobus,3020646556,80.3605308,35
Cow,2715155958,207.3421958,20
Dog,2451402005,249.4649401,27
Ferret,2451538755,496.39948,11.1
Giraffe,2757792845,99.11235522,39.5
Horse,2516778051,128.333268,57
Human,3153506529,47.12454073,122.5
Lion,2410007393,159.8665767,28
Mouse,2775421608,796.4238503,4
Naked mole-rat,2662190139,92.56530934,31
Rabbit,2783339097,216.9992718,13
Rat,2918087304,665.0476827,3.8
Ring-tailed lemur,2558524398,103.5027907,37.3
Tiger,2431023834,212.00099,26.3
